,resolution_number,date,size,issue,legislation,outcome,text,contract,acuerdo_marco
0,0395/2018,2018-04-25,112.84,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Errores en la presentacion de las ofertas.  Cuando el error consiste en una omision absoluta de parte de la oferta o en la presentacion de una oferta superior al presupuesto maximo de licitacion, debe excluirse la oferta, sin que quepa la presentacion de aclaracion o subsanacion alguna. ",Servicios,False
1,0414/2018,2018-04-23,209.29,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Impugnacion de resolucion de adjudicacion por motivos de nulidad de pleno derecho y, subsidiariamente, error en la justificacion de ofertas incursas en baja temeraria.  No se incurre en causa de nulidad de pleno derecho, aunque si hay incumplimiento del PCAP en la determinacion de la prelacion de los lotes a los que concurren las licitadoras que hubieran superado el maximo de tres lotes adjudicados que fija el PCAP.  Sin embargo, de la estimacion no se deriva ninguna ventaja para el recurrente cuya oferta no ha sido de las mejores valoradas en los lotes afectados.  La impugnacion de la admision de las ofertas se desestima por estar justificada y presentar las dos mejores ofertas un balance de riesgo positivo. ",Servicios,False
2,0405/2018,2018-04-23,233.96,Pliegos,TRLCSP,Estimacion, Estimacion.  Se anulan los criterios de adjudicacion impugnados con retroaccion del expediente.  Improcedencia de configurar los certificados de calidad como criterio de adjudicacion de los contratos.  Tampoco pueden establecerse como criterio de adjudicacion circunstancias determinantes de arraigo territorial de las empresas ni la posesion de las habilitaciones requeridas para el ejercicio de la actividad.  Improcedencia de calificar como criterios de adjudicacion sujetos a juicio de valor circunstancias cuya ponderacion se establece de manera automatica y objetiva. ,Servicios,False
3,0408/2018,2018-04-23,330.63,Adjudicacion,TRLCSP,Estimacion Parcial, Estimacion parcial.  Discrecionalidad tecnica de la administracion en la apreciacion de la identidad de los tipos de modelos de luminarias.  Indeterminacion de un concepto tecnico esencial del PPT para formular la oferta que provoca una interpretacion dispar entres los licitadores al formular su propuesta generando desigualdad en el presupuesto de las ofertas y consecuentemente en su valoracion.  Falta de motivacion en la modificacion de los elementos tecnicos de la oferta cuando resultan de otra documentacion los datos que permiten obtener los datos tecnicos. ,Servicios,False
4,0389/2018,2018-04-23,158.12,Exclusion,TRLCSP,Estimacion," Estimacion.  Justificacion de oferta en presuncion de anormalidad o desproporcion.  El recurrente justifica sus costes laborales en aplicacion de su convenio colectivo de empresa.  Tambien refleja en su justificacion los costes de estructura, que se decian omitidos. ",Servicios,False
5,0390/2018,2018-04-23,156.49,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Se analiza si es recurrible el acto de adjudicacion respecto de un lote cuyo valor estimado no alcanza los 135. 000 euros fijados para que los contratos de suministro esten sujetos a regulacion armonizada, concluyendo que si por aplicacion de los articulos 15. 2 y la propia literalidad del articulo 40. 1 del .  Se desestima el recurso en cuanto al fondo ya que lo que se impugna son las concretas puntuaciones asignadas en criterios de valoracion puramente tecnicos, en aplicacion de la doctrina del Tribunal sobre la discrecionalidad tecnica. ",Suministro,False
6,0406/2018,2018-04-23,244.46,Exclusion,TRLCSP,NaN,", causando indefension al requerido, y nulidad del acto de exclusion por tal motivo. ",Servicios,False
7,0387/2018,2018-04-23,140.55,Pliegos,TRLCSP,Desestimacion," Desestimacion.  EL Servicio de burofax requerido ha de entenderse como no exclusivo ni referente a un servicio propio exclusivo de dicha Sociedad Estatal, sino generico, alusivo al servicio de fax bajo demanda, que la recurrente presta, por lo que no es necesario anular la clausula y la prescripcion tecnica recurridas.  Doctrina del Tribunal. ",Servicios,False
8,0412/2018,2018-04-23,153.69,Exclusion,TRLCSP,NaN,", de 4 de abril, de Seguridad Privada permite que las empresas de seguridad privada lleven a cabo actuaciones compatibles y complementarias a las de seguridad privada, sin que en ningun caso constituyan el objeto principal del contrato, circunstancia que concurre en el supuesto analizado.  La licitadora excluida tiene capacidad para realizar por si misma las prestaciones del contrato.  Exclusion contraria a derecho. ",Servicios,False
9,0391/2018,2018-04-23,195.67,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  La existencia de errores materiales o de hecho en la formulacion de la oferta economica no hace que esta sea inadmisible.  Calificacion como error material o de hecho de la falta de indicacion del desglose de gastos de los costes de la oferta.  Procedimiento de subsanacion.  Validez de la adjudicacion. ,Servicios,False
10,0392/2018,2018-04-23,132.5,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se cuestiona la vulneracion de los principios de concurrencia, igualdad de trato y no discriminacion entre licitadores, respecto de uno de los criterios de adjudicacion que puntua una metodologia de trabajo con una aplicacion informatica que se usa en con exclusividad para la prestacion actual del servicio. Sin embargo, no se acredita que la utilizacion por el contratista actual constituya en si misma una ventaja, a la vista del detalle que se da en el PPTP sobre los requerimientos tecnicos de la aplicacion e incluso la programacion de una sesion informativa para aclarar dudas sobre la citada aplicacion informatica. ",Servicios,False
11,0407/2018,2018-04-23,124.57,Adjudicacion,LCSE,Estimacion Parcial," Estimacion parcial.  Allanamiento parcial por informe tecnico de fecha posterior a la adjudicacion que concluye que el adjudicatario no cumple requisitos solvencia tecnica.  Acceso a expediente, no hay pronunciamiento del organo de contratacion sobre la confidencialidad de los documentos designados por el adjudicatario. ",Servicios,False
12,0393/2018,2018-04-23,145.28,Pliegos,TRLCSP,Desestimacion," Desestimacion.  No procedia la exclusion de la licitadora que definitivamente resulto adjudicataria tras el informe tecnico que en el tramite del articulo 152. 3  considero la oferta viable de un modo razonado.  En consecuencia, la mesa de contratacion actuo correctamente admitiendo su oferta a la licitacion. ",Servicios,False
13,0394/2018,2018-04-23,199.74,NaN,,Inadmision,None,NaN,False
14,0413/2018,2018-04-23,220.16,Pliegos,TRLCSP,Desestimacion," Desestimacion.  El recurso alega la nulidad de las clausulas que exigen la obligacion de aplicar el convenio colectivo estatal de empresas de seguridad.  Se considera aplicable el articulo 14 del Acuerdo de modificacion parcial del convenio colectivo estatal para las empresas de seguridad (BOE num.  187, de 4 de agosto de 2016), confirmado por la Sentencia de la Audiencia Nacional 118/2016, de 6 de julio. ",Servicios,False
15,0388/2018,2018-04-23,188.53,Adjudicacion,TRLCSP,Desestimacion,", , .  Desestimacion.  El recurrente no debio ser excluido por realizar su oferta economica por un periodo de dos años, ya que el modelo de proposicion no especificaba que el importe a consignar fuera el anula, y exigia reflejar el “importe total”.  Esto, no obstante, se desestima el recurso por economia procesal. ",Servicios,False
16,0410/2018,2018-04-23,301.68,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Falta de prueba sobre ese extremo, rigiendo en relacion con la determinacion del presupuesto del contrato el principio de discrecionalidad tecnica y siendo indicio conforme a la doctrina del Tribunal, de que el presupuesto recoge un precio de mercado, el que hayan concurrido varios licitadores.  Valoracion de la oferta tecnica: rige en relacion con ella el principio de discrecionalidad tecnica.  Existencia de proceso laboral en marca: irrelevancia en orden a la legalidad de la adjudicacion. ",Servicios,False
17,0396/2018,2018-04-23,187.76,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Recurso por tercer clasificado.  Estudio de la clausula de confidencialidad para las ofertas de los licitadores.  Deber de motivar: diferencias entre deber de motivacion racional y suficiente y la discrepancia por el licitador descartado en cuanto a su contenido.  Formalidades en la tramitacion del procedimiento. ,Servicios,False
18,0397/2018,2018-04-23,134.09,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Aplicacion LCSP a la tramitacion del recurso al haberse interpuesto con posterioridad a la entrada en vigor de la ley.  El recurrente presenta la documentacion solicitada en fase de subsanacion en registro diferente al estipulado en los pliegos por lo que transcurre el plazo de tres dias habiles concedido. ,Suministro,False
19,0411/2018,2018-04-23,175.62,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Vulneracion del Plan director sectorial: desestimacion.  No resulta de aplicacion el citado Plan.  Libertad de los licitadores para la eleccion del centro, siempre que este autorizado al efecto, de destino de los residuos objeto del contrato. ",Servicios,False
